10,753
44,787
84,821
138,856
195,892
319,957
413,999
621,1081
770,1127
921,1169
1161,1218
1388,1247
1680,1266
1864,1260
2095,1249
2244,1222
2394,1184
2499,1144
2578,1108
2639,1077
2681,1052
2677,993
2639,934
2606,890
2572,858
2526,816
2484,781
2438,741
2394,707
2284,632
2226,596
2160,564
2125,546
2047,529
1948,506
1820,483
1682,459
1533,443
1383,426
1230,417
1100,413
961,411
846,411
743,415
695,426
638,445
588,459
537,476
422,520
346,554
270,592
191,632
109,680
8,753
